zip_code,cases,cases_norm,week,cases_change,cases_norm_change
97469,5,n/a,2020-09-10,0,0
97470,35,175.1,2020-09-10,1,5
97471,41,140.9,2020-09-10,0,0
97477,83,225.1,2020-09-10,8,21.69999999999999
97478,112,302.6,2020-09-10,3,8.100000000000023
97479,41,431.4,2020-09-10,0,0
97487,12,142.0,2020-09-10,1,11.800000000000011
97488,5,n/a,2020-09-10,0,0
97495,5,n/a,2020-09-10,0,0
97496,10,131.0,2020-09-10,0,0
97497,0,0,2020-09-10,0,0
97498,5,n/a,2020-09-10,0,0
97499,0,0,2020-09-10,0,0
97501,323,767.0,2020-09-10,30,71.29999999999995
97502,98,353.9,2020-09-10,7,25.299999999999955
97503,121,1149.3,2020-09-10,11,104.5
97504,161,362.3,2020-09-10,17,38.30000000000001
97520,40,163.5,2020-09-10,7,28.599999999999994
97523,10,159.6,2020-09-10,0,0
97524,45,311.2,2020-09-10,6,41.5
97525,17,369.5,2020-09-10,1,21.69999999999999
97526,70,204.6,2020-09-10,5,14.599999999999994
97527,68,201.7,2020-09-10,9,26.69999999999999
97530,18,260.3,2020-09-10,1,14.5
97532,5,n/a,2020-09-10,0,0
97535,19,376.5,2020-09-10,3,59.5
97537,17,245.7,2020-09-10,6,86.69999999999999
97538,0,0,2020-09-10,0,0
97539,5,n/a,2020-09-10,0,0
97540,35,441.4,2020-09-10,2,25.299999999999955
97541,5,n/a,2020-09-10,0,0
97544,0,0,2020-09-10,0,0
97601,92,409.6,2020-09-10,0,0
97603,87,294.7,2020-09-10,0,0
97623,5,n/a,2020-09-10,0,0
97624,10,285.7,2020-09-10,5,0
97630,29,569.07,2020-09-10,2,39.270000000000095
97632,5,n/a,2020-09-10,0,0
97633,13,955.2,2020-09-10,0,0
97641,0,0,2020-09-10,0,0
97701,214,362.8,2020-09-10,2,3.400000000000034
97702,192,473.1,2020-09-10,3,7.400000000000034
97703,90,271.2,2020-09-10,3,9
97707,5,n/a,2020-09-10,0,0
97708,5,n/a,2020-09-10,0,0
97720,5,n/a,2020-09-10,0,0
